length_over_xi,tv_from_absorb,string_outcome_probability
0.0,0.0,0.0
0.1,0.09516258196404048,0.09516258196404048
0.2,0.18126924692201818,0.18126924692201818
0.30000000000000004,0.2591817793182821,0.2591817793182821
0.4,0.3296799539643607,0.3296799539643607
0.5,0.3934693402873666,0.3934693402873666
0.6000000000000001,0.4511883639059736,0.4511883639059736
0.7000000000000001,0.5034146962085906,0.5034146962085906
0.8,0.5506710358827784,0.5506710358827784
0.9,0.5934303402594009,0.5934303402594009
1.0,0.6321205588285577,0.6321205588285577
1.1,0.6671289163019205,0.6671289163019205
1.2000000000000002,0.698805788087798,0.698805788087798
1.3,0.7274682069659875,0.7274682069659875
1.4000000000000001,0.7534030360583935,0.7534030360583935
1.5,0.7768698398515702,0.7768698398515702
1.6,0.7981034820053446,0.7981034820053446
1.7000000000000002,0.8173164759472654,0.8173164759472654
1.8,0.8347011117784134,0.8347011117784134
1.9000000000000001,0.8504313807773649,0.8504313807773649
2.0,0.8646647167633873,0.8646647167633873
2.1,0.8775435717470181,0.8775435717470181
2.2,0.8891968416376661,0.8891968416376661
2.3000000000000003,0.8997411562771963,0.8997411562771963
2.4000000000000004,0.9092820467105875,0.9092820467105875
2.5,0.9179150013761012,0.9179150013761012
2.6,0.9257264217856661,0.9257264217856661
2.7,0.9327944872602503,0.9327944872602503
2.8000000000000003,0.9391899373747821,0.9391899373747821
2.9000000000000004,0.9449767799435927,0.9449767799435927
3.0,0.950212931632136,0.950212931632136
3.1,0.9549507976064422,0.9549507976064422
3.2,0.9592377960216338,0.9592377960216338
3.3000000000000003,0.96311683259876,0.96311683259876
3.4000000000000004,0.9666267300396739,0.9666267300396739
3.5,0.9698026165776815,0.9698026165776815
3.6,0.9726762775527075,0.9726762775527075
3.7,0.9752764735296606,0.9752764735296606
3.8000000000000003,0.9776292281438345,0.9776292281438345
3.9000000000000004,0.9797580885541957,0.9797580885541957
4.0,0.9816843611112658,0.9816843611112658
4.1000000000000005,0.9834273245982388,0.9834273245982388
4.2,0.9850044231795223,0.9850044231795223
4.3,0.9864314409877991,0.9864314409877991
4.4,0.9877226600969315,0.9877226600969315
4.5,0.9888910034617577,0.9888910034617577
4.6000000000000005,0.9899481642553665,0.9899481642553665
4.7,0.9909047228983042,0.9909047228983042
4.800000000000001,0.99177025295098,0.99177025295098
4.9,0.9925534169290756,0.9925534169290756
5.0,0.9932620530009145,0.9932620530009145
5.1000000000000005,0.9939032534344844,0.9939032534344844
5.2,0.9944834355792392,0.9944834355792392
5.300000000000001,0.9950084060930898,0.9950084060930898
5.4,0.9954834190573874,0.9954834190573874
5.5,0.995913228561536,0.995913228561536
5.6000000000000005,0.996302136283517,0.996302136283517
5.7,0.9966540345425288,0.9966540345425288
5.800000000000001,0.9969724452546241,0.9969724452546241
5.9,0.9972605551812316,0.9972605551812316
6.0,0.9975212478233336,0.9975212478233336
