detector_error_rate,local_mutual_information_bits,sector_complete_mutual_information_bits
0.0,1.5,2.0
0.01,1.4116888303409367,1.9194187299970247
0.02,1.343487321503841,1.853974149791973
0.03,1.2829458328894063,1.7943293800233542
0.04,1.227419252670395,1.7385009468134967
0.05,1.1756521537092923,1.685547648946517
0.06,1.126905770660134,1.6349157909449006
0.07,1.080692517886752,1.5862400717694132
0.08,1.036666345792929,1.5392613523395473
0.09,0.9945689608112903,1.4937863208102329
0.1,0.954200285453529,1.4496653379073887
0.11,0.9154008641226994,1.4067792415986
0.12,0.8780407232803752,1.365030992544212
0.13,0.8420119719790066,1.3243401248374334
0.14,0.8072236932420207,1.284638914896155
0.15,0.7735983029151952,1.2458696509750764
0.16,0.7410688841796598,1.2079826344418487
0.17,0.709577191414426,1.1709346830842198
0.18,0.6790721257526131,1.134687988207401
0.19,0.6495085508540345,1.0992092269148679
0.2,0.620846359100446,1.0644688622285936
0.21,0.5930497254539304,1.0304405839804565
0.22,0.5660865042084033,0.997100856898794
0.23,0.5399277361108907,0.9644285514991928
0.24,0.5145472418375333,0.9324046397699537
0.25,0.4899212838293646,0.9010119421578812
0.26,0.46602828282332887,0.8702349156079957
0.27,0.4428485785760714,0.8400594747825058
0.28,0.42036422661878914,0.8104728403400923
0.29,0.3985588246360983,0.7814634094727763
0.3,0.377417363392493,0.7530206448958044
0.31,0.35692609814987175,0.7251349792511697
0.32,0.3370724373091597,0.6977977324777793
0.33,0.3178448456259621,0.6710010401642769
0.34,0.29923275983642916,0.644737791265517
0.35000000000000003,0.28122651491589723,0.619001573853815
0.36,0.2638172795023316,0.5937866278086106
0.37,0.24699699926627608,0.5690878035358371
0.38,0.23075834721192579,0.5449005259609837
0.39,0.2150946800600071,0.5212207631648962
0.4,0.1999999999999998,0.49804499913461275
