cut_conductance,lambda_2,upper_bound
0.0001,2.8333059312566605e-05,2.8333333333333335e-05
0.00010392891699183728,2.9446230505144346e-05,2.9446526481020562e-05
0.00010801219787096214,3.0603136373551745e-05,3.060345606343927e-05
0.00011225590746637127,3.180549514480399e-05,3.1805840448805194e-05
0.00011666634888915877,3.305509254807733e-05,3.305546551859499e-05
0.00012125007289442108,3.4353784466177945e-05,3.435418732008597e-05
0.00012601388761098508,3.5703499691751674e-05,3.570393482311244e-05
0.00013096486865340793,3.710624279033425e-05,3.710671278513225e-05
0.00013611036963126903,3.856409707693812e-05,3.8564604728859557e-05
0.00014145803307136464,4.0079227710749704e-05,4.007977603688665e-05
0.00014701580176902426,4.165388490873232e-05,4.165447716789021e-05
0.00015279193058541327,4.329040728707976e-05,4.3291046999200426e-05
0.00015879499870833993,4.4991225333745203e-05,4.499191630069631e-05
0.00016503392239477967,4.6758865016530114e-05,4.675961134518757e-05
0.0001715179682140439,4.8595951534552016e-05,4.859675766064577e-05
0.00017825676681125952,5.050521321503831e-05,5.050608392985686e-05
0.00018526032721160685,5.248948556492886e-05,5.249042604328861e-05
0.0001925390516865572,5.455171547948994e-05,5.4552731311191206e-05
0.0002001037512041927,5.6694965619181595e-05,5.669606284118793e-05
0.00020796566148655822,5.8922418954191315e-05,5.892360408785816e-05
0.0002161364596978904,6.123738349176078e-05,6.123866358106894e-05
0.0002246282817885163,6.364329718719089e-05,6.364467984007962e-05
0.00023345374052017768,6.614373304680785e-05,6.6145226480717e-05
0.00024262594419955464,6.874240443221053e-05,6.874401752320715e-05
0.0002521585161478168,7.144317057306488e-05,7.144491290854809e-05
0.00026206561493511316,7.425004229657807e-05,7.42519242316154e-05
0.00027236195541006166,7.716718797947412e-05,7.716922069951746e-05
0.0002830628305554681,8.01989397382393e-05,8.020113532404929e-05
0.0002941841342027374,8.334979985607122e-05,8.335217135744227e-05
0.00030574238463871846,8.662444747031594e-05,8.662700898097023e-05
0.00031775474914003755,9.002774551155347e-05,9.003051225634397e-05
0.0003302390694713704,9.356474792762337e-05,9.356773635022161e-05
0.0003432138883855167,9.724070718076327e-05,9.724393504256306e-05
0.0003566984771646407,0.00010106108204468223,0.00010106456852998154
0.00037071286424358743,0.0001050315457050827,0.0001050353115356831
0.00038527786495778037,0.00010915799418044784,0.00010916206173803777
0.00040041511245989447,0.00011344655507076531,0.00011345094853030343
0.00041614708985121605,0.0001179035966510824,0.00011790834212451121
