deep_capacity,coupling,single_frequency_objective,multi_frequency_objective
2.0,0.015,211.34056505961954,981.4147899340999
2.041644163344778,0.015,211.11050507907606,981.2036786053324
2.084155444859899,0.015,210.8876158007379,981.0016071968863
2.127551899750726,0.015,210.67175358753562,980.8084604160197
2.1718519591695817,0.015,210.46277193463382,980.6241176553049
2.2170744380437486,0.015,210.26052198672795,980.4484531410772
2.2632385430664614,0.015,210.06485302730067,980.2813360955163
2.3103638808542897,0.015,209.87561293974306,980.1226309121508
2.358470466274375,0.015,209.69264864043257,979.9721973445023
2.407578730945058,0.015,209.5158064840374,979.8298907074843
2.457709531913502,0.015,209.34493264143984,979.6955620910937
2.5088841605140138,0.015,209.17987345083708,979.5690585858338
2.5611243514107995,0.015,209.02047574265583,979.4502235192124
2.6144522918290196,0.015,208.86658713902705,979.3388967025887
2.6688906309780474,0.015,208.71805632866435,979.2349146875413
2.724462489670946,0.015,208.57473331800048,979.1381110308592
2.781191470144235,0.015,208.43646965955605,979.0483165671806
2.8391016660821293,0.015,208.3031186584978,978.9653596882384
2.898217672849507,0.015,208.17453555840115,978.889066627612
2.95856459793794,0.015,208.05057770723568,978.8192617498389
3.0201680716292425,0.015,207.93110470460437,978.755767842688
3.0830542578810483,0.015,207.81597853127167,978.6984064113876
3.1472498654390537,0.015,207.7050636619963,978.6469979735525
3.212782159180641,0.015,207.5982271626856,978.60136235359
3.279678971694694,0.015,207.49533877286623,978.5613189753171
3.347968715102538,0.015,207.39627097442556,978.5266871515862
3.4176803931250057,0.015,207.3008990475827,978.4972863697102
3.488843613400777,0.015,207.20910111499327,978.4729365715314
3.561488600061201,0.015,207.1207581748706,978.4534584270256
3.6356462065669573,0.015,207.03575412395818,978.438673600383
3.7113479288120055,0.015,206.95397577119454,978.4284050075858
3.7886259185003808,0.015,206.8753128427969,978.4224770645633
3.8675129968015254,0.015,206.7996579795507,978.420715925103
3.9480426682899523,0.015,206.7269067269619,978.4229497077519
4.030249135175162,0.015,206.6569575189644,978.4290087110783
4.114167311827854,0.015,206.58971165579064,978.4387256167045
4.199832839608606,0.015,206.52507327659615,978.451935679661
4.287282102005317,0.015,206.4629493273998,978.4684769056771
4.376552240085843,0.015,206.4032495248472,978.4881902151294
4.467681168272388,0.015,206.34588631628714,978.5109195934664
4.560707590444349,0.015,206.29077483661115,978.536512228007
4.655671016376465,0.015,206.23783286227933,978.5648186311025
4.75261177851923,0.015,206.18698076291938,978.5956927497352
4.851571049128716,0.015,206.13814145085846,978.6289920617025
4.95259085775307,0.015,206.09124032892854,978.6645776586046
5.055714109083132,0.015,206.04620523684815,978.7023143159205
5.16098460117471,0.015,206.00296639646237,978.742070550524
5.268447044050311,0.015,205.9614563561044,978.7837186660304
5.378147078688183,0.015,205.9216099343113,978.8271347864231
5.490131296406748,0.015,205.88336416311776,978.8721988784457
5.604447258652669,0.015,205.84665823111237,978.918794763274
5.721143517200931,0.015,205.81143342644867,978.9668101180167
5.840269634775547,0.015,205.777633079963,979.0161364676156
5.961876206099617,0.015,205.74520250854692,979.0666691677145
6.086014879383695,0.015,205.71408895890033,979.1183073791079
6.212738378261597,0.015,205.68424155179414,979.1709540343471
6.3421005241829445,0.015,205.655611226924,979.2245157971186
6.474156259271983,0.015,205.6281506884705,979.2789030149731
6.608961669662352,0.015,205.60181435142772,979.3340296660058
6.74657400931775,0.015,205.57655828877324,979.389813300043
6.887051724348581,0.015,205.55234017955323,979.4461749749146
7.030454477834934,0.015,205.5291192579109,979.5030391883414
7.176843175166425,0.015,205.50685626312574,979.560333805965
7.3262799899096684,0.015,205.4855133906828,979.6179899860228
7.478828390214356,0.015,205.46505424440653,979.6759421011488
7.63455316576918,0.015,205.4454437896911,979.7341276577548
7.793520455319022,0.015,205.42664830783076,979.7924872134233
7.9557977747551085,0.015,205.40863535147153,979.8509642927215
8.12145404579007,0.015,205.3913737011954,979.9095053018173
8.290559625230065,0.015,205.37483332323322,979.9680594422485
8.463186334856415,0.015,205.358985328314,980.0265786241866
8.639407491929441,0.015,205.34380193163807,980.0850173794893
8.819297940327445,0.015,205.3292564139894,980.1433327748355
9.00293408233407,0.015,205.315323083945,980.201484325189
9.190393911087565,0.015,205.3019772412084,980.259433907837
9.381757043705656,0.015,205.28919514102225,980.317145677212
9.577104755100205,0.015,205.27695395967046,980.3745859806859
9.776520012495926,0.015,205.26523176103228,980.4317232755138
9.980087510667861,0.015,205.25400746418745,980.4885280470758
10.187893707912577,0.015,205.2432608120516,980.5449727285563
10.40002686276835,0.015,205.23297234100232,980.6010316221672
10.616577071499952,0.015,205.22312335150986,980.656680822035
10.837636306363935,0.015,205.21369587972077,980.7118981388114
11.063298454670692,0.015,205.20467266998827,980.7666630261062
11.29365935865986,0.015,205.19603714832,980.8209565087845
11.528816856206015,0.015,205.18777339673306,980.8747611131796
11.768870822371952,0.015,205.17986612847253,980.9280607992594
12.013923211827176,0.015,205.17230066409385,980.980840894767
12.26407810214965,0.015,205.1650629083701,981.0330880313605
12.519441738029167,0.015,205.15813932800518,981.0847900827528
12.780122576391125,0.015,205.15151693013593,981.1359361048501
13.046231332459884,0.015,205.14518324159584,981.1865162778918
13.317881026781244,0.015,205.13912628891197,981.2365218505688
13.595187033224041,0.015,205.1333345790337,981.2859450861113
13.878267127981236,0.015,205.1277970807424,981.334779210312
14.167241539591291,0.015,205.1225032067448,981.3830183614721
14.462233000001124,0.015,205.11744279641619,981.4306575422202
14.763366796692265,0.015,205.11260609918105,981.4776925731877
15.070770825892426,0.015,205.10798375849973,981.5241200484974
15.384575646895016,0.015,205.1035667964499,981.5699372930123
15.70491453750971,0.015,205.09934659888805,981.6151423213305
16.031923550667624,0.015,205.09531490115,981.6597337984557
16.365741572205124,0.015,205.09146377430204,981.7037110021147
16.706510379850787,0.015,205.08778561190485,981.7470737866784
17.054374703440654,0.015,205.0842731172668,981.7898225486231
17.409482286387213,0.015,205.08091929119695,981.8319581935093
17.771983948428375,0.015,205.07771742020878,981.8734821044109
18.142033649682936,0.015,205.07466106518092,981.9143961117586
18.519788556039863,0.015,205.07174405045154,981.9547024645542
18.9054091059091,0.015,205.06896045332584,981.9944038028952
19.299059078362266,0.015,205.06630459399145,982.0335031317777
19.700905662692183,0.015,205.06377102581786,982.072003796131
20.11111952942079,0.015,205.06135452603908,982.1099094570266
20.529874902785565,0.015,205.05905008678428,982.1472240690385
20.957349634735294,0.015,205.05685290646807,982.183951858687
21.393725280466565,0.015,205.05475838151,982.220097303951
21.83918717553309,0.015,205.0527620983752,982.2556651147816
22.29392451456063,0.015,205.0508598259319,982.290660214597
22.758130431600886,0.015,205.04904750810394,982.3250877227094
23.23200208215856,0.015,205.04732125681136,982.3589529376444
23.715740726926374,0.015,205.04567734518565,982.3922613213249
24.209551817263637,0.015,205.04411220105905,982.4250184840728
24.713645082454633,0.015,205.04262240070557,982.4572301704022
25.228234618783937,0.015,205.0412046628281,982.4889022455684
25.753538980466445,0.015,205.03985584278695,982.520040682833
26.289781272470773,0.015,205.03857292705084,982.5506515514235
26.8371892452754,0.015,205.03735302787754,982.5807410051531
27.395995391597882,0.015,205.03619337819413,982.6103152716664
27.966437045138125,0.015,205.0350913266896,982.6393806422952
28.548756481377715,0.015,205.0340443331015,982.6679434624778
29.143201020478106,0.015,205.033049963681,982.6960101227376
29.75002313232135,0.015,205.03210588685687,982.7235870501775
30.369480543738003,0.015,205.0312098690548,982.7506807004759
31.001836347967743,0.015,205.03035977069248,982.7772975503574
31.647359116399166,0.015,205.02955354233612,982.8034440905167
32.30632301263625,0.015,205.028789221007,982.8291268189759
32.97900790893994,0.015,205.02806492664058,982.8543522348468
33.66569950509425,0.015,205.02737885867975,982.8791268324902
34.366689449747426,0.015,205.0267292928156,982.9034570960436
35.0822754642797,0.015,205.02611457785247,982.9273494943055
35.81276146925018,0.015,205.02553313270073,982.9508104759507
36.558457713476685,0.015,205.02498344349013,982.9738464650709
37.319680905803274,0.015,205.02446406080307,982.9964638570173
38.0967543496114,0.015,205.02397359701453,983.0186690145275
38.89000808013195,0.015,205.02351072374327,983.0404682641326
39.6997790046163,0.015,205.02307416940286,983.0618678928199
40.526411045426215,0.015,205.0226627168577,983.0828741449413
41.37025528610289,0.015,205.02227520116523,983.1034932193609
42.2316701204777,0.015,205.02191050742013,983.1237312668167
43.11102140488768,0.015,205.0215675686732,983.1435943874967
44.00868261356036,0.015,205.02124536395135,983.163088628816
44.92503499723416,0.015,205.0209429163386,983.1822199833755
45.8604677450815,0.015,205.02065929115207,983.2009943871045
46.815378150003546,0.015,205.02039359418285,983.219417717569
47.79017177736669,0.015,205.02014497001315,983.2374957924434
48.785262637252515,0.015,205.01991260039418,983.2552343681252
49.80107336029433,0.015,205.01969570270086,983.2726391384998
50.83803537717502,0.015,205.0194935284459,983.289715733837
51.896589101862354,0.015,205.01930536184742,983.3064697198133
52.97718411865974,0.015,205.01913051846566,983.3229065966541
54.08027937315166,0.015,205.0189683438888,983.3390317983897
55.20634336712504,0.015,205.01881821247255,983.3548506922182
56.35585435754926,0.015,205.01867952613938,983.3703685779681
57.52930055969941,0.015,205.0185517132134,983.3855906876535
58.72718035450888,0.015,205.01843422731503,983.400522185118
59.950002500239584,0.015,205.01832654629527,983.4151681657685
61.19828634855949,0.015,205.01822817121385,983.429533656375
62.47256206511944,0.015,205.0181386253611,983.4436236149563
63.77337085472275,0.015,205.0180574533213,983.4574429307264
65.10126519118333,0.015,205.0179842200672,983.4709964241086
66.45680905197001,0.015,205.0179185101045,983.48428884681
67.84057815773649,0.015,205.0178599266373,983.4973248819533
69.25316021683896,0.015,205.01780809077894,983.5101091442558
70.69515517494501,0.015,205.01776264079018,983.5226461802674
