frequency,model,amplitude,phase_radians
0.001,one effective reservoir,0.9999802613756331,-0.0062831026257335765
0.0010209818837871492,one effective reservoir,0.9999794244046994,-0.006414930375350214
0.0010424040070215568,one effective reservoir,0.9999785519450812,-0.006549523889422565
0.0010642756067561418,one effective reservoir,0.9999776424921104,-0.00668694118411219
0.001086606113854597,one effective reservoir,0.9999766944773306,-0.006827241491918689
0.001109405157057901,one effective reservoir,0.9999757062657959,-0.006970485287139673
0.0011326825671361539,one effective reservoir,0.9999746761532508,-0.0071167343118610105
0.0011564483811275356,one effective reservoir,0.999973602363195,-0.0072660516024882806
0.0011807128466661903,one effective reservoir,0.9999724830438205,-0.007418501516830371
0.0012054864264009343,one effective reservoir,0.9999713162648205,-0.007574149761746705
0.0012307798025066657,one effective reservoir,0.9999701000140632,-0.007733063421369457
0.001256603881290431,one effective reservoir,0.9999688321941246,-0.007895310985912568
0.0012829697978941476,one effective reservoir,0.9999675106186735,-0.00806096238107959
0.001309888921095986,one effective reservoir,0.9999661330087056,-0.008230088998082427
0.0013373728582124964,one effective reservoir,0.999964696988616,-0.008402763724283474
0.0013654334601035985,one effective reservoir,0.9999632000821059,-0.00857906097447387
0.0013940828262825786,one effective reservoir,0.999961639707918,-0.008759056722800659
0.0014233333101333,one effective reservoir,0.9999600131753875,-0.008942828535356039
0.0014531975242368955,one effective reservoir,0.9999583176798092,-0.009130455603442212
0.0014836883458102083,one effective reservoir,0.9999565502976054,-0.009322018777525268
0.0015148189222583457,one effective reservoir,0.99995470798129,-0.00951760060189214
0.001546602676843745,one effective reservoir,0.9999527875542203,-0.009717285350024788
0.0015790533144741758,one effective reservoir,0.9999507857051259,-0.009921159060705924
0.0016121848276121858,one effective reservoir,0.9999486989824066,-0.010129309574870958
0.0016460115023085497,one effective reservoir,0.9999465237881892,-0.010341826573221266
0.0016805479243623004,one effective reservoir,0.9999442563721314,-0.010558801614613724
0.0017158089856100047,one effective reservoir,0.9999418928249665,-0.010780328175242096
0.001751809890347022,one effective reservoir,0.9999394290717719,-0.01100650168862616
0.0017885661618834618,one effective reservoir,0.9999368608649557,-0.011237419586424229
0.001826093649237728,one effective reservoir,0.9999341837769441,-0.011473181340085794
0.001864408533970487,one effective reservoir,0.9999313931925621,-0.01171388850336047
0.001903527337162025,one effective reservoir,0.999928484301091,-0.011959644755680301
0.0019434669265360202,one effective reservoir,0.9999254520879899,-0.01221055594643258
0.001984244523732769,one effective reservoir,0.999922291326267,-0.012466730140140455
0.002025877711735017,one effective reservoir,0.9999189965674885,-0.012728277662569053
0.002068384442449619,one effective reservoir,0.9999155621324052,-0.012995311147775307
0.0021117830444482445,one effective reservoir,0.999911982101184,-0.013267945586119352
0.0021560922308705294,one effective reservoir,0.9999082503032267,-0.01354629837325649
