time,release_time,capture,inventory
0.0,0.25,1.75,0.4264705882352941
0.005240354718248195,0.25,1.7499897020294766,0.4266993562451904
0.01048070943649639,0.25,1.749958808400701,0.4269232718690542
0.015721064154744585,0.25,1.7499073199620514,0.42714232895788173
0.02096141887299278,0.25,1.7498352381274649,0.4273565214960903
0.026201773591240977,0.25,1.7497425648763991,0.42756584360168415
0.03144212830948917,0.25,1.7496293027537777,0.42777028952641566
0.03668248302773737,0.25,1.7494954548699206,0.4279698536559431
0.04192283774598556,0.25,1.7493410249004588,0.42816453050998515
0.047163192464233755,0.25,1.749166017086233,0.4283543147424711
0.052403547182481955,0.25,1.7489704362331773,0.42853920114168786
0.05764390190073015,0.25,1.7487542877121873,0.4287191846304228
0.06288425661897834,0.25,1.748517577458973,0.4288942602661036
0.06812461133722654,0.25,1.7482603119738942,0.42906442324093363
0.07336496605547474,0.25,1.7479824983217847,0.42922966888202396
0.07860532077372293,0.25,1.7476841441317554,0.4293899926515221
0.08384567549197113,0.25,1.7473652575969867,0.42954539014673615
0.08908603021021932,0.25,1.7470258474745035,0.4296958571002558
0.09432638492846751,0.25,1.7466659230849333,0.4298413893800699
0.09956673964671571,0.25,1.7462854943122514,0.42998198298967927
0.10480709436496391,0.25,1.7458845716035092,0.430117634068207
0.1100474490832121,0.25,1.7454631659685476,0.4302483388905044
0.1152878038014603,0.25,1.7450212889796939,0.43037409386725295
0.1205281585197085,0.25,1.7445589527714445,0.4304948955450632
0.12576851323795668,0.25,1.744076170040132,0.43061074060656956
0.1310088679562049,0.25,1.7435729540435758,0.4307216258705212
0.13624922267445308,0.25,1.7430493186007188,0.43082754829186964
0.14148957739270127,0.25,1.7425052780912473,0.4309285049618524
0.14672993211094948,0.25,1.7419408474551958,0.43102449310807256
0.15197028682919766,0.25,1.7413560421925385,0.43111551009457527
0.15721064154744585,0.25,1.740750878362761,0.43120155342191974
0.16245099626569406,0.25,1.7401253725844221,0.4312826207272483
0.16769135098394225,0.25,1.7394795420346947,0.4313587097843511
0.17293170570219044,0.25,1.7388134044488963,0.4314298185037271
0.17817206042043865,0.25,1.7381269781200008,0.43149594493264165
0.18341241513868684,0.25,1.7374202818981361,0.43155708725518005
0.18865276985693502,0.25,1.736693335190068,0.4316132437922974
0.19389312457518323,0.25,1.7359461579586646,0.43166441300186464
0.19913347929343142,0.25,1.7351787707223503,0.43171059347871127
0.2043738340116796,0.25,1.7343911945545416,0.4317517839546633
0.20961418872992782,0.25,1.733583451083068,0.4317879832985786
0.214854543448176,0.25,1.732755562489579,0.4318191905163778
0.2200948981664242,0.25,1.7319075515089342,0.43184540475107147
0.2253352528846724,0.25,1.7310394414285788,0.43186662528278397
0.2305756076029206,0.25,1.730151256087905,0.43188285152877276
0.23581596232116878,0.25,1.7292430198775968,0.4318940830434448
0.241056317039417,0.25,1.7283147577389602,0.4319003195183686
0.24629667175766518,0.25,1.727366495163238,0.4319015607822827
0.25153702647591336,0.25,1.7263982581909103,0.43189780680110057
0.25677738119416155,0.25,1.7254100734109796,0.4318890576779111
0.2620177359124098,0.25,1.7244019679602394,0.43187531365297616
0.267258090630658,0.25,1.7233739695225307,0.43185657510372405
0.27249844534890616,0.25,1.7223261063279802,0.4318328425447388
0.27773880006715435,0.25,1.7212584071522263,0.4318041166277462
0.28297915478540253,0.25,1.7201709013156274,0.4317703981415961
0.2882195095036507,0.25,1.7190636186824593,0.43173168801224027
0.29345986422189896,0.25,1.7179365896600913,0.43168798730270763
0.29870021894014714,0.25,1.7167898451981554,0.4316392972130743
0.30394057365839533,0.25,1.7156234167876931,0.43158561908043136
0.3091809283766435,0.25,1.7144373364602918,0.43152695437884764
0.3144212830948917,0.25,1.7132316367872058,0.4314633047193295
0.3196616378131399,0.25,1.7120063508784609,0.4313946718497763
0.32490199253138813,0.25,1.7107615123819455,0.4313210576549329
0.3301423472496363,0.25,1.7094971554824867,0.4312424641563375
0.3353827019678845,0.25,1.7082133149009113,0.43115889351226605
0.3406230566861327,0.25,1.7069100258930927,0.4310703480176734
0.34586341140438087,0.25,1.7055873242489823,0.4309768301041298
0.3511037661226291,0.25,1.7042452462916267,0.43087834233975464
0.3563441208408773,0.25,1.7028838288761707,0.4307748874291455
0.3615844755591255,0.25,1.7015031093888446,0.4306664682133039
0.36682483027737367,0.25,1.700103125745938,0.4305530876695576
0.37206518499562186,0.25,1.6986839163927587,0.4304347489114787
0.37730553971387004,0.25,1.6972455203025758,0.4303114551887978
0.3825458944321183,0.25,1.695787976975551,0.4301832098873154
0.38778624915036647,0.25,1.6943113264376528,0.43005001652880825
0.39302660386861465,0.25,1.6928156092395577,0.4299118787709332
0.39826695858686284,0.25,1.6913008664555367,0.42976880040712634
0.403507313305111,0.25,1.6897671396823273,0.4296207853664991
0.4087476680233592,0.25,1.688214471037991,0.4294678377137302
0.41398802274160745,0.25,1.6866429031607568,0.42930996164895413
