deep_temperature,upper_temperature,connectivity,conductance,transported_flux,flux_slope
2.1,2.0,0.9998840806568136,1.0498840806568135,0.10498840806568144,1.0498478600612222
2.105905905905906,2.0,0.9998819216451097,1.0498819216451096,0.11118869600605898,1.049842847524642
2.111811811811812,2.0,0.9998797224263902,1.0498797224263903,0.11738895394897685,1.0498377010642705
2.117717717717718,2.0,0.9998774822520667,1.0498774822520667,0.12358918109393727,1.0498324174312754
2.1236236236236237,2.0,0.9998752003596201,1.0498752003596201,0.12978937662103415,1.049826993302311
2.12952952952953,2.0,0.9998728759723414,1.0498728759723415,0.13598953969051178,1.0498214252778721
2.1354354354354355,2.0,0.9998705082990685,1.0498705082990685,0.1421896694423063,1.0498157098806125
2.1413413413413416,2.0,0.999868096533917,1.0498680965339169,0.1483897649955849,1.0498098435536263
2.1472472472472472,2.0,0.9998656398560067,1.0498656398560067,0.15458982544826685,1.0498038226586943
2.1531531531531534,2.0,0.9998631374291831,1.0498631374291831,0.1607898498765418,1.0497976434744898
2.159059059059059,2.0,0.9998605884017329,1.049860588401733,0.1669898373343697,1.0497913021947485
2.164964964964965,2.0,0.9998579919060958,1.0498579919060957,0.17318978685297776,1.0497847949263992
2.170870870870871,2.0,0.999855347058569,1.049855347058569,0.17938969744033803,1.0497781176876524
2.176776776776777,2.0,0.9998526529590072,1.049852652959007,0.18558956808064148,1.0497712664060475
2.1826826826826826,2.0,0.9998499086905183,1.0498499086905182,0.19178939773375325,1.049764236916464
2.1885885885885887,2.0,0.9998471133191507,1.0498471133191507,0.1979891853346628,1.0497570249590815
2.1944944944944944,2.0,0.9998442658935766,1.0498442658935765,0.20418892979291473,1.0497496261773027
2.2004004004004005,2.0,0.99984136544477,1.04984136544477,0.21038862999203511,1.0497420361156296
2.206306306306306,2.0,0.9998384109856773,1.0498384109856773,0.2165882847889369,1.049734250217494
2.2122122122122123,2.0,0.9998354015108815,1.0498354015108815,0.2227878930133203,1.0497262638230416
2.2181181181181184,2.0,0.9998323359962628,1.0498323359962627,0.22898745346705301,1.049718072166871
2.224024024024024,2.0,0.9998292133986493,1.0498292133986493,0.23518696492354135,1.049709670375721
2.22992992992993,2.0,0.9998260326554648,1.0498260326554647,0.24138642612708763,1.0497010534661109
2.235835835835836,2.0,0.9998227926843664,1.0498227926843664,0.247585835792229,1.0496922163419298
2.241741741741742,2.0,0.9998194923828795,1.0498194923828794,0.25378519260306875,1.0496831537919755
2.2476476476476477,2.0,0.9998161306280217,1.0498161306280216,0.25998449521258515,1.0496738604874385
2.253553553553554,2.0,0.999812706275924,1.049812706275924,0.26618374224193375,1.049664330979336
2.2594594594594595,2.0,0.9998092181614409,1.049809218161441,0.2723829322797252,1.0496545596958875
2.2653653653653656,2.0,0.9998056650977566,1.0498056650977565,0.2785820638812968,1.049644540939837
2.2712712712712713,2.0,0.9998020458759824,1.0498020458759825,0.2847811355679592,1.049634268885719
2.2771771771771774,2.0,0.9997983592647464,1.0497983592647464,0.2909801458262347,1.0496237375770634
2.283083083083083,2.0,0.9997946040097762,1.049794604009776,0.29717909310707175,1.049612940923544
2.288988988988989,2.0,0.9997907788334734,1.0497907788334735,0.30337797582504905,1.0496018726980638
2.294894894894895,2.0,0.9997868824344812,1.0497868824344812,0.30957679235755564,1.0495905265337806
2.300800800800801,2.0,0.9997829134872435,1.0497829134872434,0.3157755410439608,1.0495788959210715
2.3067067067067066,2.0,0.9997788706415542,1.0497788706415543,0.3219742201847569,1.0495669742044254
2.3126126126126128,2.0,0.9997747525221011,1.049774752522101,0.328172828040693,1.0495547545792774
2.3185185185185184,2.0,0.9997705577279992,1.0497705577279992,0.3343713628318811,1.0495422300887742
2.3244244244244245,2.0,0.9997662848323166,1.0497662848323166,0.34056982273689085,1.0495293936204693
2.33033033033033,2.0,0.9997619323815901,1.04976193238159,0.34676820589181645,1.0495162379029481
2.3362362362362363,2.0,0.9997574988953343,1.0497574988953342,0.3529665103893322,1.0495027555023855
2.3421421421421424,2.0,0.9997529828655387,1.0497529828655388,0.35916473427771917,1.0494889388190252
2.348048048048048,2.0,0.9997483827561583,1.0497483827561582,0.3653628755598762,1.0494747800835902
2.3539539539539542,2.0,0.9997436970025919,1.049743697002592,0.3715609321923091,1.0494602713536123
