time,conductance,surface_state,deep_state
0.0,0.05,0.0,0.0
0.5561735261401557,0.05,0.42126634471706526,0.00032105922111169694
1.1123470522803114,0.05,0.6562076095737898,0.0010850026966531257
1.668520578420467,0.05,0.787247234590844,0.0020951404996110146
2.2246941045606228,0.05,0.8603475107829566,0.003241792237558161
2.7808676307007785,0.05,0.9011386738763927,0.004463797179862339
3.337041156840934,0.05,0.923913070267959,0.005727050912648357
3.89321468298109,0.05,0.9366406292341176,0.00701253660139467
4.4493882091212456,0.05,0.9437656716173224,0.00830965079011281
5.005561735261401,0.05,0.9477665114949111,0.009612481625604241
5.561735261401557,0.05,0.9500251464721449,0.010917733460708567
6.117908787541713,0.05,0.9513122284415217,0.012223569538022616
6.674082313681868,0.05,0.9520575008169739,0.01352896662848957
7.230255839822024,0.05,0.9525006041159045,0.014833355154538208
7.78642936596218,0.05,0.9527751706055537,0.01613641850973324
8.342602892102335,0.05,0.9529557185190619,0.017437981152155668
8.898776418242491,0.05,0.9530838019662553,0.01873794620122682
9.454949944382648,0.05,0.9531825930696044,0.020036260639443193
10.011123470522802,0.05,0.9532650134905878,0.02133289590760601
10.567296996662957,0.05,0.9533382688628683,0.022627837084020497
11.123470522803114,0.05,0.9534063773562178,0.023921076850430656
11.67964404894327,0.05,0.9534715796952051,0.025212612127204603
12.235817575083425,0.05,0.9535351254366108,0.026502442196997267
12.79199110122358,0.05,0.9535977114261478,0.02779056765843546
13.348164627363737,0.05,0.9536597262977863,0.029076989842659273
13.904338153503893,0.05,0.9537213868154195,0.03036171048796421
14.460511679644048,0.05,0.9537828139019071,0.031644731558372774
15.016685205784203,0.05,0.9538440750356196,0.03292605514246483
15.57285873192436,0.05,0.9539052078922847,0.03420568339696428
16.129032258064516,0.05,0.9539662335285362,0.035483618515279924
16.68520578420467,0.05,0.9540271637335375,0.03675986270996856
17.241379310344826,0.05,0.9540880051285129,0.03803441820295417
17.797552836484982,0.05,0.9541487614527943,0.039307287220076814
18.35372636262514,0.05,0.9542094348386043,0.04057847198805564
18.909899888765295,0.05,0.9542700265219207,0.041847974732794335
19.46607341490545,0.05,0.9543305372388806,0.043115797678441314
20.022246941045605,0.05,0.95439096744683,0.04438194304686416
20.57842046718576,0.05,0.9544513174475887,0.04564641305735895
21.134593993325915,0.05,0.9545115874561876,0.04690920992649483
21.69076751946607,0.05,0.9545717776391992,0.04817033586801989
22.246941045606228,0.05,0.9546318881361122,0.04942979309281792
22.803114571746384,0.05,0.9546919190712504,0.050687583808883385
23.35928809788654,0.05,0.9547518705604199,0.05194371022130839
23.915461624026694,0.05,0.9548117427146152,0.05319817453227982
24.47163515016685,0.05,0.9548715356420866,0.05445097894107542
25.027808676307007,0.05,0.9549312494494925,0.05570212564406685
25.58398220244716,0.05,0.9549908842425425,0.056951616834721164
26.140155728587317,0.05,0.9550504401263558,0.05819945470360466
26.696329254727473,0.05,0.9551099172056614,0.0594456414383856
27.25250278086763,0.05,0.9551693155849097,0.06069017922383668
27.808676307007786,0.05,0.9552286353683348,0.06193307024184225
28.36484983314794,0.05,0.9552878766599894,0.06317431667139772
28.921023359288096,0.05,0.9553470395637638,0.06441392068861451
29.477196885428253,0.05,0.9554061241833977,0.06565188446672832
30.033370411568406,0.05,0.9554651306224861,0.06688821017609481
30.589543937708562,0.05,0.9555240589844822,0.06812289998420251
31.14571746384872,0.05,0.9555829093727006,0.06935595605566758
31.701890989988875,0.05,0.9556416818903173,0.07058738055224367
32.25806451612903,0.05,0.9557003766403712,0.07181717563282597
32.81423804226919,0.05,0.9557589937257649,0.07304534345344937
33.37041156840934,0.05,0.9558175332492639,0.07427188616729896
33.926585094549495,0.05,0.9558759953134981,0.0754968059247082
34.48275862068965,0.05,0.9559343800209614,0.07672010487316916
35.03893214682981,0.05,0.955992687474012,0.07794178515732564
35.595105672969964,0.05,0.9560509177748726,0.0791618489189928
36.15127919911012,0.05,0.9561090710256308,0.08038029829714388
36.70745272525028,0.05,0.9561671473282389,0.0815971354279239
37.263626251390434,0.05,0.9562251467845145,0.08281236244465384
37.81979977753059,0.05,0.9562830694961402,0.0840259814778298
38.37597330367074,0.05,0.9563409155646644,0.08523799465513049
38.9321468298109,0.05,0.9563986850915008,0.08644840410141474
39.48832035595105,0.05,0.9564563781779291,0.08765721193873566
40.04449388209121,0.05,0.956513994925095,0.08886442028633668
40.60066740823137,0.05,0.9565715354340102,0.09007003126065316
41.15684093437152,0.05,0.9566289998055529,0.09127404697532426
41.71301446051168,0.05,0.9566863881404678,0.09247646954119226
42.26918798665183,0.05,0.9567437005393664,0.09367730106630567
42.825361512791986,0.05,0.9568009371027266,0.0948765436559208
43.38153503893214,0.05,0.956858097930894,0.09607419941251416
43.9377085650723,0.05,0.9569151831240809,0.09727027043577274
44.493882091212456,0.05,0.9569721927823673,0.09846475882261396
45.05005561735261,0.05,0.9570291270057006,0.09965766666717168
45.60622914349277,0.05,0.9570859858938962,0.10084899606081721
46.162402669632925,0.05,0.957142769546637,0.10203874909214705
46.71857619577308,0.05,0.9571994780634745,0.1032269278469986
47.27474972191323,0.05,0.9572561115438281,0.10441353440844969
47.83092324805339,0.05,0.9573126700869857,0.10559857085681901
48.387096774193544,0.05,0.9573691537921042,0.10678203926967433
48.9432703003337,0.05,0.9574255627582086,0.10796394172183377
49.49944382647386,0.05,0.9574818970841936,0.1091442802853716
50.055617352614014,0.05,0.9575381568688225,0.11032305702961587
50.61179087875417,0.05,0.9575943422107281,0.11150027402116258
51.16796440489432,0.05,0.957650453208413,0.11267593332386938
51.72413793103448,0.05,0.957706489960249,0.11385003699886576
52.28031145717463,0.05,0.9577624525644777,0.11502258710454683
52.83648498331479,0.05,0.9578183411192113,0.11619358569659555
53.39265850945495,0.05,0.9578741557224315,0.11736303482796451
53.9488320355951,0.05,0.9579298964719908,0.1185309365488959
54.50500556173526,0.05,0.957985563465612,0.11969729290691511
55.061179087875416,0.05,0.9580411568008889,0.12086210594684377
55.61735261401557,0.05,0.9580966765752855,0.12202537771079014
56.17352614015572,0.05,0.9581521228861376,0.12318711023816664
56.72969966629588,0.05,0.9582074958306518,0.12434730556568618
57.285873192436036,0.05,0.9582627955059059,0.1255059657273616
57.84204671857619,0.05,0.9583180220088499,0.12666309275452148
58.39822024471635,0.05,0.9583731754363048,0.12781868867580304
58.954393770856505,0.05,0.958428255884964,0.1289727555171586
59.51056729699666,0.05,0.9584832634513926,0.13012529530185923
60.06674082313681,0.05,0.9585381982320282,0.1312763100505031
60.62291434927697,0.05,0.9585930603231806,0.13242580178101093
61.179087875417125,0.05,0.9586478498210322,0.1335737725086349
61.73526140155728,0.05,0.9587025668216382,0.13472022424595764
62.29143492769744,0.05,0.9587572114209267,0.1358651590029033
62.847608453837594,0.05,0.9588117837146989,0.13700857878673223
63.40378197997775,0.05,0.9588662837986289,0.13815048560205268
63.95995550611791,0.05,0.9589207117682649,0.1392908814508188
64.51612903225806,0.05,0.9589750677190277,0.14042976833233412
65.07230255839822,0.05,0.959029351746213,0.1415671482432581
65.62847608453838,0.05,0.9590835639449893,0.14270302317760908
66.18464961067853,0.05,0.9591377044103998,0.14383739512676397
66.74082313681868,0.05,0.9591917732373622,0.1449702660794725
67.29699666295883,0.05,0.9592457705206674,0.1461016380218385
67.85317018909899,0.05,0.9592996963549824,0.14723151293735548
68.40934371523915,0.05,0.959353550834848,0.14835989280687667
68.9655172413793,0.05,0.95940733405468,0.14948677960864742
69.52169076751946,0.05,0.9594610461087695,0.1506121753182802
70.07786429365962,0.05,0.9595146870912826,0.1517360819087884
